X,Result
-10.00000,-0.83907
-9.90000,-0.88926
-9.80000,-0.93046
-9.70000,-0.96239
-9.60000,-0.98470
-9.50000,-0.99718
-9.40000,-0.99970
-9.30000,-0.99215
-9.20000,-0.97480
-9.10000,-0.94770
-9.00000,-0.91112
-8.90000,-0.86543
-8.80000,-0.81109
-8.70000,-0.74871
-8.60000,-0.67875
-8.50000,-0.60202
-8.40000,-0.51929
-8.30000,-0.43138
-8.20000,-0.33911
-8.10000,-0.24354
-8.00000,-0.14550
-7.90000,-0.04602
-7.80000,0.05398
-7.70000,0.15337
-7.60000,0.25125
-7.50000,0.34659
-7.40000,0.43855
-7.30000,0.52608
-7.20000,0.60836
-7.10000,0.68457
-7.00000,0.75397
-6.90000,0.81572
-6.80000,0.86939
-6.70000,0.91437
-6.60000,0.95021
-6.50000,0.97655
-6.40000,0.99311
-6.30000,0.99986
-6.20000,0.99655
-6.10000,0.98328
-6.00000,0.96019
-5.90000,0.92752
-5.80000,0.88559
-5.70000,0.83471
-5.60000,0.77556
-5.50000,0.70866
-5.40000,0.63467
-5.30000,0.55434
-5.20000,0.46847
-5.10000,0.37790
-5.00000,0.28367
-4.90000,0.18652
-4.80000,0.08751
-4.70000,-0.01241
-4.60000,-0.11216
-4.50000,-0.21080
-4.40000,-0.30734
-4.30000,-0.40073
-4.20000,-0.49022
-4.10000,-0.57480
-4.00000,-0.65363
-3.90000,-0.72592
-3.80000,-0.79096
-3.70000,-0.84810
-3.60000,-0.89682
-3.50000,-0.93649
-3.40000,-0.96682
-3.30000,-0.98749
-3.20000,-0.99830
-3.10000,-0.99914
-3.00000,-0.98993
-2.90000,-0.97092
-2.80000,-0.94220
-2.70000,-0.90406
-2.60000,-0.85689
-2.50000,-0.80114
-2.40000,-0.73745
-2.30000,-0.66630
-2.20000,-0.58851
-2.10000,-0.50485
-2.00000,-0.41615
-1.90000,-0.32326
-1.80000,-0.22720
-1.70000,-0.12884
-1.60000,-0.02920
-1.50000,0.07080
-1.40000,0.16997
-1.30000,0.26749
-1.20000,0.36230
-1.10000,0.45360
-1.00000,0.54031
-0.90000,0.62162
-0.80000,0.69674
-0.70000,0.76492
-0.60000,0.82533
-0.50000,0.87758
-0.40000,0.92105
-0.30000,0.95531
-0.20000,0.98002
-0.10000,0.99492
-0.00000,1.00000
