X,Result
0.10000,-2.30258
0.20000,-1.60942
0.30000,-1.20396
0.40000,-0.91627
0.50000,-0.69313
0.60000,-0.51081
0.70000,-0.35667
0.80000,-0.22314
0.90000,-0.10536
1.00000,0.00000
1.10000,0.09531
1.20000,0.18232
1.30000,0.26235
1.40000,0.33647
1.50000,0.40546
1.60000,0.46999
1.70000,0.53060
1.80000,0.58778
1.90000,0.64185
2.00000,0.69313
2.10000,0.74192
2.20000,0.78845
2.30000,0.83290
2.40000,0.87546
2.50000,0.91627
2.60000,0.95551
2.70000,0.99324
2.80000,1.02961
2.90000,1.06469
3.00000,1.09861
3.10000,1.13139
3.20000,1.16314
3.30000,1.19391
3.40000,1.22377
3.50000,1.25276
3.60000,1.28092
3.70000,1.30832
3.80000,1.33500
3.90000,1.36097
4.00000,1.38628
4.10000,1.41097
4.20000,1.43507
4.30000,1.45861
4.40000,1.48160
4.50000,1.50407
4.60000,1.52604
4.70000,1.54756
4.80000,1.56861
4.90000,1.58922
5.00000,1.60942
5.10000,1.62923
5.20000,1.64865
5.30000,1.66770
5.40000,1.68639
5.50000,1.70474
5.60000,1.72276
5.70000,1.74046
5.80000,1.75785
5.90000,1.77494
6.00000,1.79175
6.10000,1.80828
6.20000,1.82454
6.30000,1.84054
6.40000,1.85629
6.50000,1.87179
6.60000,1.88706
6.70000,1.90210
6.80000,1.91692
6.90000,1.93151
7.00000,1.94590
7.10000,1.96008
7.20000,1.97407
7.30000,1.98787
7.40000,2.00147
7.50000,2.01489
7.60000,2.02814
7.70000,2.04121
7.80000,2.05411
7.90000,2.06685
8.00000,2.07943
8.10000,2.09186
8.20000,2.10413
8.30000,2.11625
8.40000,2.12822
8.50000,2.14005
8.60000,2.15175
8.70000,2.16331
8.80000,2.17474
8.90000,2.18604
9.00000,2.19722
9.10000,2.20827
9.20000,2.21919
9.30000,2.23000
9.40000,2.24070
9.50000,2.25128
9.60000,2.26175
9.70000,2.27211
9.80000,2.28237
9.90000,2.29253
10.00000,2.30258
