X,Result
0.10000,-1.00000
0.20000,-0.69897
0.30000,-0.52287
0.40000,-0.39793
0.50000,-0.30103
0.60000,-0.22184
0.70000,-0.15490
0.80000,-0.09691
0.90000,-0.04576
1.00000,0.00000
1.10000,0.04139
1.20000,0.07918
1.30000,0.11394
1.40000,0.14613
1.50000,0.17609
1.60000,0.20412
1.70000,0.23044
1.80000,0.25527
1.90000,0.27875
2.00000,0.30103
2.10000,0.32221
2.20000,0.34242
2.30000,0.36173
2.40000,0.38021
2.50000,0.39793
2.60000,0.41497
2.70000,0.43136
2.80000,0.44715
2.90000,0.46239
3.00000,0.47712
3.10000,0.49136
3.20000,0.50515
3.30000,0.51851
3.40000,0.53148
3.50000,0.54407
3.60000,0.55630
3.70000,0.56820
3.80000,0.57978
3.90000,0.59106
4.00000,0.60206
4.10000,0.61278
4.20000,0.62325
4.30000,0.63347
4.40000,0.64345
4.50000,0.65321
4.60000,0.66275
4.70000,0.67210
4.80000,0.68124
4.90000,0.69019
5.00000,0.69897
5.10000,0.70757
5.20000,0.71600
5.30000,0.72427
5.40000,0.73239
5.50000,0.74036
5.60000,0.74819
5.70000,0.75587
5.80000,0.76343
5.90000,0.77085
6.00000,0.77815
6.10000,0.78533
6.20000,0.79239
6.30000,0.79934
6.40000,0.80618
6.50000,0.81291
6.60000,0.81954
6.70000,0.82607
6.80000,0.83251
6.90000,0.83885
7.00000,0.84510
7.10000,0.85126
7.20000,0.85733
7.30000,0.86332
7.40000,0.86923
7.50000,0.87506
7.60000,0.88081
7.70000,0.88649
7.80000,0.89209
7.90000,0.89763
8.00000,0.90309
8.10000,0.90849
8.20000,0.91381
8.30000,0.91908
8.40000,0.92428
8.50000,0.92942
8.60000,0.93450
8.70000,0.93952
8.80000,0.94448
8.90000,0.94939
9.00000,0.95424
9.10000,0.95904
9.20000,0.96379
9.30000,0.96848
9.40000,0.97313
9.50000,0.97772
9.60000,0.98227
9.70000,0.98677
9.80000,0.99122
9.90000,0.99564
10.00000,1.00000
