X,Result
-10.00000,-1.19180
-9.90000,-1.12454
-9.80000,-1.07473
-9.70000,-1.03908
-9.60000,-1.01554
-9.50000,-1.00283
-9.40000,-1.00030
-9.30000,-1.00791
-9.20000,-1.02585
-9.10000,-1.05518
-9.00000,-1.09755
-8.90000,-1.15549
-8.80000,-1.23291
-8.70000,-1.33563
-8.60000,-1.47331
-8.50000,-1.66107
-8.40000,-1.92570
-8.30000,-2.31815
-8.20000,-2.94886
-8.10000,-4.10616
-8.00000,-6.87288
-7.90000,-21.73045
-7.80000,18.52482
-7.70000,6.52005
-7.60000,3.98008
-7.50000,2.88526
-7.40000,2.28025
-7.30000,1.90085
-7.20000,1.64376
-7.10000,1.46076
-7.00000,1.32632
-6.90000,1.22591
-6.80000,1.15023
-6.70000,1.09365
-6.60000,1.05240
-6.50000,1.02402
-6.40000,1.00694
-6.30000,1.00014
-6.20000,1.00346
-6.10000,1.01700
-6.00000,1.04146
-5.90000,1.07815
-5.80000,1.12920
-5.70000,1.19802
-5.60000,1.28939
-5.50000,1.41112
-5.40000,1.57561
-5.30000,1.80393
-5.20000,2.13463
-5.10000,2.64623
-5.00000,3.52526
-4.90000,5.36133
-4.80000,11.42689
-4.70000,-80.58930
-4.60000,-8.91545
-4.50000,-4.74376
-4.40000,-3.25375
-4.30000,-2.49547
-4.20000,-2.03992
-4.10000,-1.73974
-4.00000,-1.52992
-3.90000,-1.37756
-3.80000,-1.26428
-3.70000,-1.17911
-3.60000,-1.11505
-3.50000,-1.06782
-3.40000,-1.03432
-3.30000,-1.01267
-3.20000,-1.00170
-3.10000,-1.00086
-3.00000,-1.01018
-2.90000,-1.02995
-2.80000,-1.06134
-2.70000,-1.10612
-2.60000,-1.16702
-2.50000,-1.24822
-2.40000,-1.35603
-2.30000,-1.50083
-2.20000,-1.69921
-2.10000,-1.98079
-2.00000,-2.40299
-1.90000,-3.09351
-1.80000,-4.40147
-1.70000,-7.76131
-1.60000,-34.24227
-1.50000,14.12503
-1.40000,5.88353
-1.30000,3.73850
-1.20000,2.76015
-1.10000,2.20460
-1.00000,1.85080
-0.90000,1.60869
-0.80000,1.43526
-0.70000,1.30733
-0.60000,1.21163
-0.50000,1.13950
-0.40000,1.08572
-0.30000,1.04678
-0.20000,1.02039
-0.10000,1.00511
-0.00000,1.00000
