X,Result
-10.00000,0.54399
-9.90000,0.45748
-9.80000,0.36639
-9.70000,0.27177
-9.60000,0.17434
-9.50000,0.07517
-9.40000,-0.02479
-9.30000,-0.12447
-9.20000,-0.22290
-9.10000,-0.31910
-9.00000,-0.41205
-8.90000,-0.50098
-8.80000,-0.58489
-8.70000,-0.66295
-8.60000,-0.73439
-8.50000,-0.79848
-8.40000,-0.85469
-8.30000,-0.90223
-8.20000,-0.94076
-8.10000,-0.96991
-8.00000,-0.98937
-7.90000,-0.99895
-7.80000,-0.99855
-7.70000,-0.98811
-7.60000,-0.96789
-7.50000,-0.93798
-7.40000,-0.89870
-7.30000,-0.85043
-7.20000,-0.79367
-7.10000,-0.72902
-7.00000,-0.65701
-6.90000,-0.57845
-6.80000,-0.49412
-6.70000,-0.40485
-6.60000,-0.31151
-6.50000,-0.21512
-6.40000,-0.11655
-6.30000,-0.01681
-6.20000,0.08319
-6.10000,0.18216
-6.00000,0.27940
-5.90000,0.37381
-5.80000,0.46460
-5.70000,0.55069
-5.60000,0.63128
-5.50000,0.70558
-5.40000,0.77285
-5.30000,0.83227
-5.20000,0.88345
-5.10000,0.92580
-5.00000,0.95890
-4.90000,0.98240
-4.80000,0.99607
-4.70000,0.99993
-4.60000,0.99370
-4.50000,0.97754
-4.40000,0.95163
-4.30000,0.91621
-4.20000,0.87165
-4.10000,0.81827
-4.00000,0.75680
-3.90000,0.68775
-3.80000,0.61184
-3.70000,0.52980
-3.60000,0.44246
-3.50000,0.35069
-3.40000,0.25555
-3.30000,0.15776
-3.20000,0.05839
-3.10000,-0.04160
-3.00000,-0.14113
-2.90000,-0.23926
-2.80000,-0.33499
-2.70000,-0.42732
-2.60000,-0.51546
-2.50000,-0.59845
-2.40000,-0.67545
-2.30000,-0.74570
-2.20000,-0.80849
-2.10000,-0.86329
-2.00000,-0.90935
-1.90000,-0.94633
-1.80000,-0.97386
-1.70000,-0.99167
-1.60000,-0.99958
-1.50000,-0.99750
-1.40000,-0.98539
-1.30000,-0.96353
-1.20000,-0.93203
-1.10000,-0.89120
-1.00000,-0.84147
-0.90000,-0.78342
-0.80000,-0.71740
-0.70000,-0.64423
-0.60000,-0.56465
-0.50000,-0.47943
-0.40000,-0.38933
-0.30000,-0.29550
-0.20000,-0.19867
-0.10000,-0.09983
-0.00000,0.00000
