X,Result
-5.00000,3.52830
-4.90000,5.31760
-4.80000,11.38905
-4.70000,-80.58394
-4.60000,-8.84940
-4.50000,-4.60870
-4.40000,-3.04817
-4.30000,-2.22357
-4.20000,-1.71092
-4.10000,-1.36580
-4.00000,-1.12657
-3.90000,-0.96163
-3.80000,-0.85341
-3.70000,-0.79085
-3.60000,-0.76621
-3.50000,-0.77361
-3.40000,-0.80820
-3.30000,-0.86623
-3.20000,-0.94494
-3.10000,-1.04337
-3.00000,-1.16343
-2.90000,-1.31289
-2.80000,-1.51179
-2.70000,-1.81001
-2.60000,-2.34992
-2.50000,-3.68496
-2.40000,-11.47696
-2.30000,9.01402
-2.20000,3.57324
-2.10000,2.68287
-2.00000,2.65070
-1.90000,3.14048
-1.80000,4.36957
-1.70000,7.71837
-1.60000,34.22902
-1.50000,-14.08550
-1.40000,-5.77658
-1.30000,-3.56149
-1.20000,-2.51459
-1.10000,-1.89777
-1.00000,-1.49376
-0.90000,-1.21592
-0.80000,-1.02261
-0.70000,-0.89238
-0.60000,-0.81190
-0.50000,-0.77227
-0.40000,-0.76696
-0.30000,-0.79076
-0.20000,-0.83945
-0.10000,-0.90981
-0.00000,-1.00000
0.10000,-398.01524
0.20000,-72.03528
0.30000,-19.03044
0.40000,-5.79301
0.50000,-1.92815
0.60000,-0.73785
0.70000,-0.35659
0.80000,-0.20334
0.90000,-0.09316
1.00000,NaN
1.10000,0.16689
1.20000,0.32078
1.30000,0.48109
1.40000,0.64077
1.50000,0.79429
1.60000,0.93794
1.70000,1.06942
1.80000,1.18764
1.90000,1.29207
2.00000,1.38296
2.10000,1.46088
2.20000,1.52667
2.30000,1.58122
2.40000,1.62558
2.50000,1.66081
2.60000,1.68793
2.70000,1.70792
2.80000,1.72172
2.90000,1.73021
3.00000,1.73420
3.10000,1.73442
3.20000,1.73155
3.30000,1.72620
3.40000,1.71890
3.50000,1.71016
3.60000,1.70039
3.70000,1.68998
3.80000,1.67926
3.90000,1.66852
4.00000,1.65802
4.10000,1.64797
4.20000,1.63854
4.30000,1.62988
4.40000,1.62214
4.50000,1.61539
4.60000,1.60973
4.70000,1.60520
4.80000,1.60185
4.90000,1.59970
5.00000,1.59876
